,"09-Jun-2015 , 11.13 AM",,,,,,,,
,,,,,,,,Page 2 of,
,,,,,,,,, 2
,"----------This is a Computer Generated Purchase Order----------
Generated By ebizframe10",,,,,,,,
,,,,,,,,Purchase Order,,,,,,,,,,Duplicate,,,,,
ACME INDUSTRIES LTD.,,,,,,,,,,,,,,,,,,,,,,,
"PWD
Sector - DELHI 
India
",,,,,,,,,,,,,,,,,,,,,,,
Tel,,,,:,91987654321,,,,,,,,,,,,,,,,,,
Email,,,,:,asihr@asiindia.com,,,,,,,,,,,,,,,,,,
,Supplier Name & Address :,,,,,,,,,Order No.,,,,,,,Dated,,,,,,
,,,,,,,,,,IPO00033,,,,,,,22/04/2015,,,,,,
,Navigant Consulting,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Supplier's Reference,,,,,,,Dated,,,,,,
,"B-45
Sector-63
NOIDA, UTTAR PARDESH
Sector - DELHI 
India
201307",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Amendment No,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Dated,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Currency,,,,,,
,,,,,,,,,,,Order Type,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,US DOLLAR,,,,,,
,,,,,,,,,,,Import Purchase Order,,,,,,,,,,,,
,,,,,,,,,,,Mode/Terms of Payment,,,,,,Dispatch Mode,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BY CHEQUE,,,,,,BY SEA,,,,,,
S.No,,,Item Code,,,Item Name	,,,,,,UOM,,Quantity,Price,,,,,,,    Amount,
1,,,TLS.0000002,,,Microsoft Office,,,,,,Piece,,10.00,10.0000,,,,,,,100.00,
Total,,,,,,,,,,,,,:,10.00,,,,,,100.00,,,
Total,,,,,,,,,,,,,,,,,,,:,100.00,,,
,,Flexi Field ID,,,,,,,,,,,,,Flexi Field ID,,,,,,,,
,Amount Chargeable(in Words),,,,,,,,,,,,,,,,,,,,,,
,USD One Hundred only,,,,,,,,,,,,,,,,,,,,,,
Flexi Field ID,,,,,,,Flexi Field ID,,,,,,,,,,,,,,,,
FLX00001,,,,,,,,,,,,,,,,,,,,,,,
FLX00002,,,,,,,,,,,,,,,,,,,,,,,
FLX00003,,,,,,,,,,,,,,,,,,,,,,,
FLX00004,,,,,,,,,,,,,,,,,,,,,,,
FLX00005,,,,,,,,,,,,,,,,,,,,,,,
FLX00006,,,,,,,,,,,,,,,,,,,,,,,
FLX00007,,,,,,,,,,,,,,,,,,,,,,,
FLX00008,,,,,,,,,,,,,,,,,,,,,,,
FLX00009,,,,,,,,,,,,,,,,,,,,,,,
FLX00010,,,,,,,,,,,,,,,,,,,,,,,
FLX00011,,,,,,,,,,,,,,,,,,,,,,,
FLX00012,,,,,,,,,,,,,,,,,,,,,,,
FLX00013,,,,,,,,,,,,,,,,,,,,,,,
FLX00016,,,,,,,,,,,,,,,,,,,,,,,
,"09-Jun-2015 , 11.13 AM",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Page 1 of,,
,,,,,,,,,,,,,,,,,,,,,,, 2
,"----------This is a Computer Generated Purchase Order----------
Generated By ebizframe10",,,,,,,,,,,,,,,,,,,,,,
,"Remarks:
",,,,,,,,
,,,,,For ACME INDUSTRIES LTD.,,,,
,Company's VAT TIN :,,,09465707020,,,,,
,Company's CST TIN :,,,dfgsdgfdf,,,,,
,Supplier's VAT TIN   :,,,90712364523645,,,,,
,,,,,,,Authorised Signatory,,
,Supplier's ECC No    :,,,,,,,,
,,,,FQ201982932,,,,,
,Supplier's PAN No    :,,,,,,,,
,Terms and Conditions :,,,,,,,,
Created By:,,,Alex Smith,,,Approved By:,Alex Smith,,
,,,,,,E. & O.E,,,
,"09-Jun-2015 , 11.13 AM",,,,,,,,
,,,,,,,,Page 2 of,
,,,,,,,,, 2
,"----------This is a Computer Generated Purchase Order----------
Generated By ebizframe10",,,,,,,,
,,,,,,,,Purchase Order,,,,,,,,,,Triplicate,,,,,
ACME INDUSTRIES LTD.,,,,,,,,,,,,,,,,,,,,,,,
"PWD
Sector - DELHI 
India
",,,,,,,,,,,,,,,,,,,,,,,
Tel,,,,:,91987654321,,,,,,,,,,,,,,,,,,
Email,,,,:,asihr@asiindia.com,,,,,,,,,,,,,,,,,,
,Supplier Name & Address :,,,,,,,,,Order No.,,,,,,,Dated,,,,,,
,,,,,,,,,,IPO00033,,,,,,,22/04/2015,,,,,,
,Navigant Consulting,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Supplier's Reference,,,,,,,Dated,,,,,,
,"B-45
Sector-63
NOIDA, UTTAR PARDESH
Sector - DELHI 
India
201307",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Amendment No,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Dated,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Currency,,,,,,
,,,,,,,,,,,Order Type,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,US DOLLAR,,,,,,
,,,,,,,,,,,Import Purchase Order,,,,,,,,,,,,
,,,,,,,,,,,Mode/Terms of Payment,,,,,,Dispatch Mode,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BY CHEQUE,,,,,,BY SEA,,,,,,
S.No,,,Item Code,,,Item Name	,,,,,,UOM,,Quantity,Price,,,,,,,    Amount,
1,,,TLS.0000002,,,Microsoft Office,,,,,,Piece,,10.00,10.0000,,,,,,,100.00,
Total,,,,,,,,,,,,,:,10.00,,,,,,100.00,,,
Total,,,,,,,,,,,,,,,,,,,:,100.00,,,
,,Flexi Field ID,,,,,,,,,,,,,Flexi Field ID,,,,,,,,
,Amount Chargeable(in Words),,,,,,,,,,,,,,,,,,,,,,
,USD One Hundred only,,,,,,,,,,,,,,,,,,,,,,
Flexi Field ID,,,,,,,Flexi Field ID,,,,,,,,,,,,,,,,
FLX00001,,,,,,,,,,,,,,,,,,,,,,,
FLX00002,,,,,,,,,,,,,,,,,,,,,,,
FLX00003,,,,,,,,,,,,,,,,,,,,,,,
FLX00004,,,,,,,,,,,,,,,,,,,,,,,
FLX00005,,,,,,,,,,,,,,,,,,,,,,,
FLX00006,,,,,,,,,,,,,,,,,,,,,,,
FLX00007,,,,,,,,,,,,,,,,,,,,,,,
FLX00008,,,,,,,,,,,,,,,,,,,,,,,
FLX00009,,,,,,,,,,,,,,,,,,,,,,,
FLX00010,,,,,,,,,,,,,,,,,,,,,,,
FLX00011,,,,,,,,,,,,,,,,,,,,,,,
FLX00012,,,,,,,,,,,,,,,,,,,,,,,
FLX00013,,,,,,,,,,,,,,,,,,,,,,,
FLX00016,,,,,,,,,,,,,,,,,,,,,,,
,"09-Jun-2015 , 11.13 AM",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Page 1 of,,
,,,,,,,,,,,,,,,,,,,,,,, 2
,"----------This is a Computer Generated Purchase Order----------
Generated By ebizframe10",,,,,,,,,,,,,,,,,,,,,,
,"Remarks:
",,,,,,,,
,,,,,For ACME INDUSTRIES LTD.,,,,
,Company's VAT TIN :,,,09465707020,,,,,
,Company's CST TIN :,,,dfgsdgfdf,,,,,
,Supplier's VAT TIN   :,,,90712364523645,,,,,
,,,,,,,Authorised Signatory,,
,Supplier's ECC No    :,,,,,,,,
,,,,FQ201982932,,,,,
,Supplier's PAN No    :,,,,,,,,
,Terms and Conditions :,,,,,,,,
Created By:,,,Alex Smith,,,Approved By:,Alex Smith,,
,,,,,,E. & O.E,,,
,"09-Jun-2015 , 11.13 AM",,,,,,,,
,,,,,,,,Page 2 of,
,,,,,,,,, 2
,"----------This is a Computer Generated Purchase Order----------
Generated By ebizframe10",,,,,,,,
,,,,,,,,Purchase Order,,,,,,,,,,Quadruplicate,,,,,
ACME INDUSTRIES LTD.,,,,,,,,,,,,,,,,,,,,,,,
"PWD
Sector - DELHI 
India
",,,,,,,,,,,,,,,,,,,,,,,
Tel,,,,:,91987654321,,,,,,,,,,,,,,,,,,
Email,,,,:,asihr@asiindia.com,,,,,,,,,,,,,,,,,,
,Supplier Name & Address :,,,,,,,,,Order No.,,,,,,,Dated,,,,,,
,,,,,,,,,,IPO00033,,,,,,,22/04/2015,,,,,,
,Navigant Consulting,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Supplier's Reference,,,,,,,Dated,,,,,,
,"B-45
Sector-63
NOIDA, UTTAR PARDESH
Sector - DELHI 
India
201307",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Amendment No,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Dated,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Currency,,,,,,
,,,,,,,,,,,Order Type,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,US DOLLAR,,,,,,
,,,,,,,,,,,Import Purchase Order,,,,,,,,,,,,
,,,,,,,,,,,Mode/Terms of Payment,,,,,,Dispatch Mode,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BY CHEQUE,,,,,,BY SEA,,,,,,
S.No,,,Item Code,,,Item Name	,,,,,,UOM,,Quantity,Price,,,,,,,    Amount,
1,,,TLS.0000002,,,Microsoft Office,,,,,,Piece,,10.00,10.0000,,,,,,,100.00,
Total,,,,,,,,,,,,,:,10.00,,,,,,100.00,,,
Total,,,,,,,,,,,,,,,,,,,:,100.00,,,
,,Flexi Field ID,,,,,,,,,,,,,Flexi Field ID,,,,,,,,
,Amount Chargeable(in Words),,,,,,,,,,,,,,,,,,,,,,
,USD One Hundred only,,,,,,,,,,,,,,,,,,,,,,
Flexi Field ID,,,,,,,Flexi Field ID,,,,,,,,,,,,,,,,
FLX00001,,,,,,,,,,,,,,,,,,,,,,,
FLX00002,,,,,,,,,,,,,,,,,,,,,,,
FLX00003,,,,,,,,,,,,,,,,,,,,,,,
FLX00004,,,,,,,,,,,,,,,,,,,,,,,
FLX00005,,,,,,,,,,,,,,,,,,,,,,,
FLX00006,,,,,,,,,,,,,,,,,,,,,,,
FLX00007,,,,,,,,,,,,,,,,,,,,,,,
FLX00008,,,,,,,,,,,,,,,,,,,,,,,
FLX00009,,,,,,,,,,,,,,,,,,,,,,,
FLX00010,,,,,,,,,,,,,,,,,,,,,,,
FLX00011,,,,,,,,,,,,,,,,,,,,,,,
FLX00012,,,,,,,,,,,,,,,,,,,,,,,
FLX00013,,,,,,,,,,,,,,,,,,,,,,,
FLX00016,,,,,,,,,,,,,,,,,,,,,,,
,"09-Jun-2015 , 11.13 AM",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Page 1 of,,
,,,,,,,,,,,,,,,,,,,,,,, 2
,"----------This is a Computer Generated Purchase Order----------
Generated By ebizframe10",,,,,,,,,,,,,,,,,,,,,,
,"Remarks:
",,,,,,,,
,,,,,For ACME INDUSTRIES LTD.,,,,
,Company's VAT TIN :,,,09465707020,,,,,
,Company's CST TIN :,,,dfgsdgfdf,,,,,
,Supplier's VAT TIN   :,,,90712364523645,,,,,
,,,,,,,Authorised Signatory,,
,Supplier's ECC No    :,,,,,,,,
,,,,FQ201982932,,,,,
,Supplier's PAN No    :,,,,,,,,
,Terms and Conditions :,,,,,,,,
Created By:,,,Alex Smith,,,Approved By:,Alex Smith,,
,,,,,,E. & O.E,,,
,"09-Jun-2015 , 11.13 AM",,,,,,,,
,,,,,,,,Page 2 of, 2
"----------This is a Computer Generated Purchase Order----------
Generated By ebizframe10",,,,,,,,,
